text,domain,intent,split
i would like to hear something funny,9,132,test
what ingredients are in antipasto salad,3,34,train
roll five sided dice,7,104,test
is there enough money in my bank of hawaii for vacation,1,12,train
did i tell you to remind me about laundry,4,49,test
what's the nutrient info for a donut,3,36,train
tell me any events scheduled on my calendar for april 15,4,55,train
check and confirm reservations at ruth chris for carol lee,3,32,train
what should i do if my card is lost,2,20,train
what's the weather today,7,91,val
what's the nutrient make up of a plate of spaghetti,3,36,train
i need to let my bank know i am visiting asia soon,6,77,train
what are the steps required for making a vacation request,8,116,val
what's bank of america's routing number,1,2,train
could you tell me today's date,7,93,train
"i want to keep my credit from going down, how do i do this",2,19,train
"could you connect to my phone, please",10,146,train
how do i jump start a fiat,5,75,train
i want to switch to direct deposit,8,119,train
i want you to adjust your speaking to be faster,10,136,train
is there enough money in my discover account for a vacation,1,12,train
help me set a timer please,7,96,val
"my card got scratched badly, can you tell my bank to send a replacement",2,18,train
what is the mpg for this car,5,69,val
set the tv on,4,60,test
how does one go about putting in a vacation request,8,116,test
i need you to help me with some math if you can,7,98,train
id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,6,90,train
was my last transaction at walmart,1,14,val
take everything off my to do list please,4,48,test
is that restaurant crowded during dinner,3,33,train
text robert and tell him winter is coming,7,105,train
who is responsible for who you are,9,121,train
could you please raise your volume,10,140,val
i would like to see the transactions i made last week,1,14,train
i think my account is block but i am not sure why,1,6,train
how much did i spend on gas the past month,1,13,train
i'm grateful,9,130,train
would i need to get a visa to go to ireland,6,80,train
when is my meeting with infrastructure,8,110,test
how many points are on my gold card,2,26,train
how can i pay my bill,1,5,train
how is that weather,7,91,test
tell me how to apply for a new credit card,2,29,test
is any traffic on my route to work,5,65,train
what interest rate is us bank giving me on my acount,1,7,val
when will my paycheck be available,8,111,train
allow my son to see my gps coordinates,7,95,train
how do i get to the train by foot,5,71,test
good job with assisting me,9,130,train
when was my lawn last mowed,0,0,oos_test
roll die,7,104,train
does my usaa card have international transaction fees,2,30,train
tell me the fuel type used by my car,5,73,train
please see if you can increase my credit limit to one thousand dollars,2,22,train
provide me the name of your boss,9,123,val
i'm pretty sure it could be either,10,150,train
please roll the 10 sided dice,7,104,train
what temp is the ac at,4,60,train
i would like to know if my visa card application has been approved,2,27,val
"can i get some more checkbooks sent to me, please",1,11,test
who programmed you,9,121,val
i need to report a bent card,2,18,train
what sorts of vaccinations should i get prior to a trip to hong kong,6,85,test
what is the most time i can keep a burrito frozen for before it's no good to eat,3,31,test
whats the due date for z bill,1,4,train
list me some good vietnamese restaurants in new york city,3,41,train
am i speaking with someone real,9,133,train
can i increase the credit limit on my travel rewards card,2,22,test
i don't remember buying this,1,15,test
i need to know how many days so far i've taken off,8,120,train
what is the carry-on policy for flights on the airline called jetblue,6,89,test
what kind of mexican meal should i get,3,40,train
how many mpg does an equinox get,5,69,val
what kind of hobbies do you have,9,125,train
look up carry-on rules for american airlines,6,89,val
tell bill and craig where i am,7,95,train
i need to know the status of my alaska air flight,6,79,train
unsure,10,150,test
can you put in a pto request for me from march 1-7,8,116,train
"restore your factory settings, please",10,149,train
how much did i spend on my most recent transaction,1,14,test
make a reservation to stay in cali from november 11 to 15,6,88,train
make the speakers louder,10,140,train
is there a travel alert for that country,6,84,train
how long is the wait at applebee's tonight,3,33,val
will it be ok to sub turkey for beef,3,43,test
what do i do to request a vacation,8,116,train
flip a quarter,7,101,train
i need a reminder set for signing up for the conference,4,50,train
text robby hello,7,105,train
who won in the gsw vs suns game last night,0,0,oos_test
i don't know the answer to that,10,150,train
that would be true,10,139,train
when is my meeting with roger,8,110,train
my next payday,8,111,train
i need you to schedule a meeting with bob brown at noon the day after tomorrow,8,118,train
are there reservation for joe and will,3,32,test
what sort of fuel does this car take,5,73,train
tell me when i should change me oil,5,62,val
you know the reservation i have on 2:00 friday i confirm it,3,32,val
turn lights on in the garage,4,60,train
does stanleys take brunch reservations,3,45,train
lower volume,10,140,train
i must know the the carry-on restrictions for american airlines,6,89,test
pay my cable bill directly from my checking account,1,5,val
let me know every meeting i have scheduled today,8,110,train
"what will traffic be like nearest the george washington bridge, new york",5,65,test
how many miles per gallon does this car get in the city,5,69,train
please uninstall this intrusive social media app,0,0,oos_test
i want to learn to change oil,5,63,train
"hi there, how are you doing",9,131,test
give me location for tourist destination in bangkok,6,83,val
thanks for that response,9,130,test
how long until my flight is here,6,79,train
"i cut up the wrong card, please contact the bank and let them know",2,18,train
shh please speak with a whisper,10,138,train
what kind of activities do you enjoy,9,125,train
did i get approval yet to take off next week,8,106,val
for the holidays when is the next one we do here,8,107,test
i need a timer for 45 minutes,7,96,test
what's the latest i can pay my cellular bill,1,4,test
what was the last thing i purchased,1,14,train
i need you to let me know what the status of my day off request is,8,106,train
where did you live prior to living here,9,128,train
what are some interesting things i can do while in raleigh,6,83,test
are you self employed,9,123,train
i replaced tires last june when should i do it again,5,74,test
tell me where i can find my exterminator bill's due date,1,4,test
why is my bank account locked,1,6,test
how long do you bake a cake,3,44,train
i need help spelling superficial,7,102,train
where did you live previously,9,128,train
will you tell a joke,9,132,train
can you call alexa,7,97,test
i'm out of toilet paper so will you put that on my shopping list,4,59,val
do i have any meetings with michael today,8,110,train
and your name is,9,127,test
how do i set up direct deposit to my chase account,8,119,train
i cannot use my card cuz it's damaged,2,18,test
can you identify this song for me,4,46,test
that would be a no,10,141,train
how can i find a new credit card to apply to,2,29,test
show video of hair styling tips,0,0,oos_test
why is my bank account blocking me,1,6,train
please confirm my reservation at brio for theodore,3,32,test
how long do i need to cook lasagne for,3,44,val
do i need a visa for germany,6,80,train
how often do you change your tires,5,74,train
how much did i spend last week,1,13,train
thank you very much for the assistance,9,130,train
i want seventy bucks transferred from b of a to chase,1,10,train
what's the funnest thing for a tourist to do in iceland,6,83,train
i need alarms set for 6am and 615am,7,92,train
is there traffic on bramble lane,5,65,train
flip a coin now,7,101,val
what time is today's meeting,8,110,test
share my location with apple,7,95,val
do i have any meetings coming up today,8,110,train
i want to know how to go about getting a new credit card,2,29,test
what is is the details of my bank account,1,12,train
change the accent you're using,10,144,test
what ingredients are in beef jerkey,3,34,test
compare prices for flights from recife to miami leaving may 20 returning june 5,6,87,train
i'd like you to roll dice,7,104,train
what's the currency conversion between rubles and pounds,6,82,train
is it possible to rent a car from new york on 3/2/19 to 3/5/19,6,90,train
help me get an american express card,2,29,train
direct deposit my paycheck to my capital one account,8,119,val
thanks for the assist,9,130,val
let me know what time the patriots game starts,0,0,oos_test
"can you play the next song on this playlist, please",4,56,train
what's the minimum required payment on my visa card,1,8,train
where is the closest hospital to madison square garden,5,71,test
how do you say goodbye in spanish,6,78,train
what is three quarters of one sixth,7,98,train
text someone,7,105,train
set reminder to feed cat tonight at 6pm,4,50,train
what's the date tomorrow,7,93,train
schedule an uber for 3 to go to the airport,5,64,train
what can you tell me about miami weather,7,91,train
what is the square root of 10294,7,98,train
how long would it take to get to mcdonald's in houston,5,70,val
tell me how many a's are in magical,7,102,train
how old is al,9,134,train
"what do you do when you're not working, for fun",9,125,train
do you want me to shop for peanut butter,4,54,train
i would like you to secure a 4:30 pm reservation for five people at morton's steakhouse,3,39,train
how many of my paid days off have i used,8,120,train
i'd like to put a freeze on my bank account,1,1,train
roll the 10 sided dice on time,7,104,train
what type of fuel should i get for mainly city driving,5,73,val
when do i get paid again,8,111,train
what things are on my shopping list,4,54,train
can you show me the nutrition facts for grapes,3,36,train
i was in target about to buy a chair when my card got declined,2,21,val
how old are you ai,9,134,val
what does it take to make buttermilk pancakes,3,34,train
i'd like to know the date tomorrow,7,93,train
i want to rent a car in boston for march 2 until march 4,6,90,train
can i use a green pepper instead of a red pepper,3,43,train
did i schedule any meetings for today,8,110,train
if i order a new card how long would it take,2,16,train
do i need to get any shots before visiting family in seattle,6,85,val
create a reminder to change my oil,4,50,test
is there a time limit on leaving pork in the fridge,3,31,train
what caused a hold on my us bank account,1,6,test
help me set up direct deposit to my bank of hawaii checking account,8,119,train
"i need to change your name, do you have a new name that you like",10,148,train
play music by the beatles,4,47,train
return to default settings,10,149,train
i have how many tier credits on my caesar's card,2,26,train
tell me what the word bounty means,7,99,train
remind me to use the bathroom,4,50,train
is there anything available in new york city from april 2 through april 8,6,88,train
who has the best credit card offering for a college student,2,29,val
tell me if i can get a higher limit on my visa,2,22,train
i'd like to share my location with stephanie,7,95,val
how many days are remaining on my vacation days,8,115,test
find someone local who mows lawns,0,0,oos_test
set a reminder to go check the mail,4,50,train
i appreciate the help,9,130,train
how many elements are on the periodic table,0,0,oos_test
i need to add this song to my playlist of rock,4,53,train
do you know when my next electric bill is due,1,4,train
set a reminder,4,50,train
i want to set an alarm,7,92,test
let me know whether folding laundry is on my to do list,4,58,train
how are things going,9,131,train
what place were you created in,9,128,train
which shots do i need to get before i go to africa next week,6,85,train
where did all my money go this month,1,13,train
will doing this hurt my credit score,2,19,train
what fun is there to do in england,6,83,train
when do classes start,0,0,oos_train
can you get me the name of this song,4,46,train
display the song lyrics for me,0,0,oos_test
please let me know when i need to renew my credit card,2,17,train
that's a negative,10,141,train
what's on the shopping list,4,54,train
what day is it tomorrow,7,93,train
whats a good chinese dinner suggestion,3,40,val
can you find me a reputable hotel in honolulu,6,88,test
what is stupedous meant,7,99,train
can i use red onions instead of white,3,43,test
where is your home planet,9,128,test
that's incorrect,10,141,test
can you find me the apr listed on the statement for my citi mastercard,2,23,test
i need to get from jfk to dallas with united for under $500,6,87,train
stop using the whisper mode,10,138,train
take watering the plants off of my to do list,4,48,train
please provide the square root of 36,7,98,train
how do i spell ambitious,7,102,train
how many meetings do i have today between noon and one,8,110,train
how long is the wait at chipotle right now,3,33,val
"where can i get the employment document that i need to do my taxes, please",8,117,train
find out who the best appliance repairman is for the downtown area,0,0,oos_test
can you give me information about the nutrition facts for celery,3,36,train
"make a reminder, pay taxes on monday",4,50,train
how can i get a visa card,2,29,test
please activate a wireless hotspot so i can use the internet,0,0,oos_test
please search for a chocolate fudge brownies recipe,3,37,train
what kind of electrical outlet does that country use,6,76,test
could you tell me when you were born,9,134,train
how busy is orchids at 7,3,33,train
do i have enough fuel to make it to the theater,5,68,train
do you know anything about my income,8,113,train
a meeting needs to be schedule and i need to know how,8,118,train
can i make an appointment for an oil change,5,67,val
why are humans on earth,9,122,val
i can't understand you because of how rapidly you're speaking,10,136,train
tell me the name of my insurance plan,8,109,train
how do i jump my car,5,75,train
can you tell me the current time,7,103,train
what's today's date,7,93,train
the pin number to my card has been forgotten,1,3,test
i dont have an answer for that,10,150,train
i got to remove fishing from my calendar for soccer,4,51,train
"no, that's not right",10,141,val
what plug types are there in cuba,6,76,train
tell me what is on my calendar for april 1,4,55,train
where is the best winery in the south of france,6,83,train
how would one make a vacation request,8,116,test
cancel that last thing,10,145,train
i would like to know when the bill is due,1,4,train
can i get my w-2 online,8,117,train
show me the channel guide,0,0,oos_val
"howdy, what's new",9,131,train
i would like to make a pto request for july 17th and 18th,8,116,train
find the square root of 1243435,7,98,test
is it true your a real person,9,133,test
is mcdonalds a good place to eat,3,38,train
do i need to get any shots before i go to brazil,6,85,val
what's the quickest way to a bank,5,71,train
can i swap chili for sloppy joe mix in the recipe,3,43,test
purchase grass seed from the store,4,57,test
i need a hotel room for 7 people in st louis for november 3rd through 5th,6,88,val
make the male british accent please,10,144,val
"can you find ""were the millers"" on hulu",0,0,oos_test
what country and city am i in,5,61,train
what do you do in your free time,9,125,train
please speak slower,10,136,train
i need to know what the latest is with my application for a visa credit card,2,27,train
call alexa at home,7,97,test
can you show me the transactions that were made last night at the restaurant,1,14,train
what's the status of my jetblue flight,6,79,test
i need an uber for 3 passengers to go to madison square garden,5,64,train
what benefits are available with my insurance,8,109,train
did someone who is unauthorized try to get into my bank account,1,6,test
i gotta say no,10,141,train
a rental car needs to be booked in nashville,6,90,train
do i have overdraft protection,0,0,oos_test
my account shows a transaction that i didn't make from foot locker,1,15,test
when's my next oil change due,5,62,train
my luggage is missing off of american airlines flight ab123 out of chicago,6,86,val
what is tomorrow's date,7,93,train
my credit is going down what should i do,2,19,train
that's not right,10,141,train
play the song called i want it that way,4,47,test
can you talk a bit slower please,10,136,train
how do i know what the outlets are like,6,76,train
set up a new pin number on my college fund account and make it be 1234,1,3,train
lets fin out some fun facts about humans,9,126,train
tell me the timezone for california,6,81,test
could you tell me the amount owed on gas and electric,1,9,val
am i talking to an actual person,9,133,train
who employs you,9,123,test
i need a delivery tracked,4,52,test
what kind of items are on my shopping list,4,54,train
can you help me pay my electricity bill,1,5,test
look up the status of my time off request,8,106,val
what will traffic be like at 5:00 going towards the mall,5,65,train
can i get you to talk like a pouty english guy,10,144,train
it was nice to talk it out with you,9,129,train
check to see how long of a wait i would be facing if i go to outback steakhouse,3,33,train
can you help me pay my phone bill,1,5,train
i would like you to increase the speed of your speech please,10,136,train
do you know when i'll receive my next paycheck,8,111,test
can you tell me local crime in my area,0,0,oos_test
i want to transfer funds between accounts,1,10,train
what kind of insurance plan am i enrolled in,8,109,train
how can i jump start a car,5,75,val
please change my name to tom,10,147,val
"hey siri, tell me the apr on my disney visa",2,23,train
do i have any meetings scheduled for today,8,110,train
whats my credit rating,2,28,train
what do i do if i lost my card,2,20,train
i want to see my recent transaction,1,14,train
redeem my credit card rewards into my account,2,24,val
what sort of health benefits do i have,8,109,test
are there vaccinations needed if i go there,6,85,test
tell me the result of a dice roll with five sides,7,104,train
tell me the weather for today,7,91,test
are tomatoes on my shopping list,4,54,train
how many times does 8 go into 2000,7,98,train
what plug type is used in spain,6,76,train
can you tell me what the next holiday is,8,107,train
would you be classified as a bot,9,133,val
book a flight from new york to la for less than 200 dollars,6,87,test
please increase your speaker volume,10,140,train
please locate my phone,7,94,train
what is 87 divided by 4,7,98,val
can you locate me on a map,5,61,train
how long until i get a replacement card,2,16,train
help me find a roundtrip flight for may 7th through the 20th from pittsburgh to chicago,6,87,train
what is the traffic like on the road to downtown dallas,5,65,val
i need to apply for a bank of america travel rewards credit card,2,29,train
can you confirm my reservation for steve at olive garden,3,32,train
are there any alerts for traveling in belize,6,84,train
i want to listen to another song,4,56,train
can you fill in my credit card number on the screen,0,0,oos_test
can you please disconnect from my phone,10,146,test
i think there's a fraudulent charge from mcdonald's on my account,1,15,test
why doesn't english have consistent forms,0,0,oos_test
unsync my phone now please,10,146,train
do you know how many calories are in a single chicken breast,3,35,train
what's my latest credit score,2,28,val
what pets do you own,9,124,test
help me calculate my federal tax bill,8,112,train
do i have any reminders to look up how to properly do a potato in my microwave,4,49,train
please tell me when the last time was that my car was in the shop,5,72,train
look up the calories in an apple,3,35,train
"my car's tires are due to be looked at, can you help me get an appointment for that",5,67,val
how do you say dog in spanish,6,78,test
do i have any appointments on tuesday,4,55,train
find me a hotel in seattle with great reviews,6,88,train
how would i say thank you if i were mexican,6,78,test
"never mind, don't do that",10,145,train
how many miles per gallon do i get in my car,5,69,train
can you pair with my phone,10,146,val
can you confirm the date my last paycheck was received,8,111,train
"if i'm going to africa, do i need some shots first",6,85,train
give me the nutritional information for mashed potatoes,3,36,train
how many pto days are in my possesion,8,115,val
can you suggest a mexican dish,3,40,val
what peruvian dish should i make,3,40,train
"i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020",6,88,train
my card was malfunctioning and was returned to me,2,21,train
what is the amount due on my visa,1,9,test
you could tell me if you were real,9,133,val
what if you want to obtain a new credit card,2,29,train
tell me my visa limit,2,25,test
where the bleep did i put my bleeping phone,7,94,test
"if my card was stolen, where do i report it",2,20,val
report a card lost for me,2,20,val
do i need to get any shots before i travel to liberia,6,85,test
do my tires seem too low on air,5,66,train
that will be true,10,139,train
who has the best record in the nfl,0,0,oos_val
does the national card have international transactions fees and how much,2,30,train
can you move my money to my savings,1,10,val
i think my luggage has been lost,6,86,train
does life have a meaning,9,122,train
can you see if my order was delivered,4,52,train
please speak louder,10,140,train
get me flight from philly to atlanta on june 5th i'm coming back june 8th,6,87,val
set a meeting with tom for 5:30 tomorrow,8,118,train
i no longer need a table for four at chili's,3,42,train
how much have i recently spent,1,13,val
i need to know when the next holiday is,8,107,train
set a reminder to go dress shopping,4,50,train
can you find me a recipe for coffee cakes,3,37,train
change device talking speed,10,136,test
what meetings do i have today from 3 to 4,8,110,train
i want to know my credit limit,2,25,test
roll a 9 sided dice,7,104,test
i need you to use your whisper voice,10,138,train
tell me something about linkin park,0,0,oos_test
one more time please,10,143,train
what could help me locate myself,5,61,test
"i'd like to get some more checkbooks mailed to me, if i can",1,11,train
how do i get my credit limit increased to $1000,2,22,test
translate hello to french,6,78,train
what's my credit card's annual percentage rate,2,23,test
when will my tires need to be replaced,5,74,train
i need to report that my card is lost,2,20,train
what date is my at&t bill due,1,4,train
do you own the mineral rights to gold nuggets you find in your back yard,0,0,oos_test
"i would like to know if there are any fees for using my capital one card in london, england",2,30,train
you work for whom,9,123,train
how many vacation days do i still have available,8,115,test
can i change your language,10,142,train
i need the interest rate on my capital one account,1,7,train
i want to know what time it is,7,103,train
i need to know who is your boss,9,123,train
can you help me book a car rental in seattle,6,90,train
what's the balance in my bank accounts,1,12,test
will i be charged for using my card in japan,2,30,train
go ahead and go back to the original settings,10,149,train
please order some more pepsi,4,57,test
please notify my bank i'm going to africa between tomorrow and next tuesday,6,77,test
how much have i spent recently,1,13,train
make sure my to do list is completely clear please,4,48,train
i need to know why my credit card transaction was declined,2,21,val
how many times have i taken off from work this year,8,120,train
how much am i going to have to pay in taxes to the state,8,112,train
can i change your talking voice,10,136,test
how much total gas do i have,5,68,train
whisper mode,10,138,test
"i need to make an appointment for an oil change, please",5,67,test
tell me how you've been,9,131,train
what level is my gas at,5,68,train
"i want to redeem points on my chase card, but how",2,24,train
please show me how to order more checks for my savings account,1,11,train
will i have to wait to get a table at ihop,3,33,train
tell me a scary story,0,0,oos_test
what are some ways to keep my credit score up,2,19,train
you can just speak to me as jim,10,147,train
i want to talk to you about your hobbies,9,125,test
how much money a year do i spend in taxes,8,112,val
i need to know what my wife's account's routing number is,1,2,train
call the grocery store and get their operational hours,0,0,oos_test
can you redial the last number dialed,7,97,train
tell me how many days i've taken off at this point,8,120,train
please go ahead and make my student loan payment,1,5,train
tell me spaghetti bolognese's nutrition facts,3,36,test
are all televisions high definition,0,0,oos_test
please remind me of the tasks on my to do list,4,58,train
how do i go about cooking a 10lb turkey,3,37,test
please go ahead and flip a coin,7,101,val
in what form is my name saved,10,137,val
oliver garden reviews,3,38,test
what is 1000 plus 745,7,98,test
i have no idea what the pin is for my checking account,1,3,train
convert my credit card points to cash,2,24,val
do visitors to japan need to use a socket converter,6,76,train
where is the nearest arco gas station to macdonalds,5,71,test
how does 10 pounds convert to euros,6,82,train
are you a bot or a person,9,133,train
how much do i have available on my visa card,2,25,test
look up my fico credit score,2,28,val
what university in the united states offers the best biomedical engineering program,0,0,oos_val
just flip a coin,7,101,test
how can i stop transactions on my account,1,1,train
please get rid off everything on my to do list,4,48,train
tell me the traffic at lexington,5,65,train
what is the validity of my credit card,2,17,train
can you put in a pto request for the 5th of june to june 8th,8,116,train
make sure i get a delta flight from pittsburgh to arizona,6,87,test
it's good to see you,9,131,train
turn off my account,1,1,train
what is my spending limit on my mastercard,2,25,train
can i substitute apple juice for wine,3,43,train
please check and tell me the amount i spent on food last month,1,13,train
who developed your actions,9,121,train
what health coverage do i have,8,109,test
what are you programmed to do for me,9,135,test
has my order arrived yet,4,52,train
play the next musical number,4,56,train
am i connected to wifi,0,0,oos_test
i will need an uber for 2 people to get to philadelphia,5,64,train
not at all,10,141,train
could you tell me the status of my frontier flight,6,79,train
how do i find when my cable bill is due,1,4,train
what kind of traffic can i expect at 9:00 on the route to detroit,5,65,test
what's the meeting room availability between noon and 2,8,118,train
do i need to bring a visa when i go to canada next month,6,80,train
can i swap coconut milk for condensed milk,3,43,train
what is the minimum payable amount for my rent bill this month,1,8,test
may i ask your age,9,134,test
what do you think our purpose is in life,9,122,val
what is the amount of pto have i used,8,120,val
schedule an alarm,7,92,train
can you tell me how long approximate wait times are at cheesecake factory,3,33,val
convert 20 yen to dollars,6,82,test
what do i have on my shopping list,4,54,train
does wendy's have good reviews,3,38,train
where would century bank have their routing number listed,1,2,test
could you transfer $x from saving to checking,1,10,train
look up the email address of the local police,0,0,oos_test
set to female voice,10,144,train
what day of the week is it,7,93,train
tell me the status of my day off request,8,106,train
i need you to speak faster,10,136,train
make sure my flower bar reservation is scheduled for tomorrow,3,32,val
"tomorrow, what will the date be",7,93,train
let carl know that he sucks,7,105,val
i need to know when my oil should be changed,5,62,train
i need the apr on my visa card,2,23,train
how can i get involved in restaurant marketing,0,0,oos_train
can you tell me the time zone for la,6,81,test
confirm a flight for me from ft lauderdale to houston on southwest,6,87,train
find out how busy ihop usually is around 5 pm,3,33,train
i really need you to confirm my reservation for kevin at red robin,3,32,train
roll a 10 sided dice,7,104,val
that is not the case,10,141,train
i am going to australia and want to be notified of any travel alerts,6,84,train
i need to know if you are a real person or an ai,9,133,train
i need to know my current gps coordinates,5,61,train
what amount of interest does my checking account earn,1,7,test
what gas does my car use,5,73,train
it was lovely to speak with you,9,129,val
i need your assistance to solve this math problem,7,98,val
i'm going to need a hotel room for 8 people in tallahassee from 3/10 until 3/12,6,88,train
share location with bill,7,95,train
can you tell me britain's timezone,6,81,test
"help me please, my account is blocked",1,6,train
recite my to do list,4,58,val
what kind of gas does my car currently need,5,73,train
how much can i spend wth my visa,2,25,train
please add someday by the strokes to my playlist,4,53,train
i need a reservation at 8 on the 22nd of november at ruth's,3,39,train
is there a reservation available at ruth chris today,3,39,val
use whisper voice,10,138,train
tell me that status of flight dl123,6,79,train
does marios in brooklyn take reservations,3,45,train
when will my oil change be due for this car,5,62,test
can you please dim the lights,4,60,train
were you born here,9,128,train
can credit card companies expedite delivery of reissued credit cards,2,16,test
do vegans really want to blame cows for climate change,0,0,oos_test
"i want some nike's, is there enough in my wells fargo account",1,12,test
do you know how much i owe on my cable bill,1,9,train
how do you spell water,7,102,train
does the new york restaurant take reservations,3,45,test
where can i obtain a w2 form,8,117,train
which came first; greek mythology or roman mythology,0,0,oos_test
which restaurants in reno are good for sushi,3,41,train
send sal a text and tell them thanks,7,105,train
move 57 dollars from saving into mom,1,10,train
at what age can someone get a card,0,0,oos_test
what are the possible reasons behind frozen bank account,1,6,val
will i be charged if i use the card in france,2,30,train
can you end the task,10,145,train
set this to my factory settings,10,149,val
should i apply for a visa if i am traveling to mexico,6,80,test
which hotels in evans have good reviews,6,88,train
so far how many days have i taken off,8,120,train
do i have peanuts on my shopping list if not please add it,4,59,val
tell me how to make a vacation request,8,116,val
check if there's a hotel room that can receive 10 people in tampa from this friday for a week,6,88,train
how many items are on my todo list,4,58,train
remind me to do something,4,50,val
tell me what the longest tributary is in venezuela,0,0,oos_test
walk me through the process of applying for an american express card,2,29,train
help me change my pin number,1,3,train
i'd like to have a reminder made,4,50,train
"how do i fix my card, it was declined",2,21,test
"i am in need of an oil change, set an appointment",5,67,train
"my card was stolen, how do i report this",2,20,val
i need to know the carry-on restrictions for united airlines,6,89,train
can you please remind me of the items that i made note of to not forget,4,49,test
"tell me if my application has been processed yet, i signed up for a credit card recently",2,27,train
what date will it be 7 days from now,7,93,val
what day do i get paid next,8,111,train
name the items on my shopping list,4,54,train
"do i need some shots, if i am traveling to china",6,85,train
is my car due for it's next oil change,5,62,test
what created you,9,121,train
can i change my credit limit,2,22,test
get me dwight howard shooting average,0,0,oos_train
how do i know the interest rate for my signature account,1,7,train
when should i replace my tires next if i last replaced them on july 15th,5,74,train
define my health benefits,8,109,train
you are going to be called joe now,10,148,test
what questions do you respond to,9,135,train
tell me what the tax amount is,8,112,train
can i get an uber to central park for 5,5,64,train
i need to know my bill total for my verizon payment due this month,1,9,train
